time,mvs,rot,std,stop
2.0190000213915482e-06,-68.375,,,0
0.20005594400004156,-68.375,,,0
0.4000538889999916,-68.25,,,0
0.600054296000053,-68.625,,,0
0.8000539070000059,-68.625,,,0
1.0000533510000196,-68.875,,,0
1.2000540550000096,-68.5,,,0
1.4000993140000446,-68.625,,,0
1.6000571839999793,-69.0,,,0
1.8000541840000324,-68.875,,,0
2.0000536659999852,-68.75,,,0
2.200053498999978,-68.75,,,0
2.400058925000053,-69.0,,,0
2.6000541280000107,-68.875,,,0
2.800053369000011,-68.875,-0.20758785854571524,0.22760833806246103,0
3.000056997999991,-69.0,-0.2008927669118672,0.22298480267099416,0
3.2421554610000385,-69.0,-0.18193967233488612,0.2101586702153082,0
3.4136512200000197,-68.875,-0.11978897983239807,0.15723301886761004,0
3.6051305720000073,-69.0,-0.11541053153224304,0.15456030825826175,0
3.8044753130000117,-68.875,-0.08894950019956002,0.14337208778404378,0
4.009769127000027,-68.875,-0.09337137291359138,0.14337208778404378,0
4.210028923999971,-68.625,-0.013613464720180053,0.12472191289246473,0
4.408281089999946,-68.75,0.035160021091410296,0.11180339887498948,0
4.60511890500004,-68.625,0.048417670666230074,0.12247448713915891,1
4.805121626999949,-68.875,0.04185414845043604,0.12247448713915891,0
5.00512460799996,-68.875,0.05315172344710735,0.11960583412006101,0
5.205126052999958,-68.75,0.08234562082054206,0.11960583412006101,0
5.405127237999977,-68.75,0.07573555466920434,0.11606990230986765,0
5.605138312000008,-68.625,0.09831696943232049,0.12747548783981963,0
5.80512536699996,-68.625,0.11653796543847188,0.1359125535858341,0
6.005131625999979,-68.625,0.11219497091084102,0.13281147875424357,0
6.20512169999995,-68.5,0.11638433973989144,0.13693063937629152,0
6.405123681999953,-68.5,0.12967098114795153,0.1457737973711325,0
6.605120348000014,-68.5,0.11850620603220857,0.1359125535858341,0
6.8051259029999756,-68.375,0.13196092890084682,0.14766704288891125,0
7.005126107000024,-68.25,0.1520331387268568,0.16749792701868152,0
7.205123329000003,-68.25,0.19653871819455165,0.19075871903765995,0
7.405126161999988,-68.25,0.21651769499967105,0.20344259359556172,0
7.605126755000015,-68.25,0.24553589068659654,0.2163459164291195,0
7.805124718000002,-68.25,0.23214320179602718,0.20649186155606447,0
8.00512736600001,-68.125,0.2232146117620211,0.19825628755617197,0
8.20512423599996,-68.125,0.21875038478198633,0.19472202409246536,0
8.405121662000056,-68.125,0.20312544544051794,0.18181186857726195,0
8.60512199499999,-68.125,0.1941965963507248,0.1755942292142123,0
8.805120736000049,-68.125,0.17633953080497108,0.16244657241348273,0
9.005124513000055,-68.125,0.14955368101343636,0.14043582955293932,0
9.205123438999976,-68.125,0.1316965774014627,0.12801909579781012,0
9.405125142999964,-68.25,0.09151793930133216,0.10671873729054747,0
9.605123771999956,-68.125,0.06250002548339026,0.07728015412913089,0
9.805125771999997,-68.0,0.060267880000333354,0.07453559924999299,0
10.005117902000052,-68.0,0.06919646890796297,0.08164965809277261,0
10.20512169799997,-68.125,0.058035759723999075,0.07728015412913086,0
10.405117624000013,-68.0,0.060267918394696404,0.07905694150420949,0
10.60511838299999,-68.0,0.05803577586132864,0.07728015412913088,0
10.805120067999951,-68.25,0.020089254181919414,0.07728015412913086,0
11.005123290000029,-68.375,-0.01562517175473078,0.10206207261596575,0
11.205119011999955,-68.25,-0.03125018235768641,0.10671873729054748,0
11.405120659999966,-68.25,-0.044643073988496665,0.11055415967851333,0
11.605121826999948,-68.125,-0.040178769612177694,0.11055415967851333,0
11.805121901000007,-68.25,-0.051339521670145674,0.11365151414154881,0
12.005124455999976,-68.125,-0.04464300765794838,0.11365151414154881,0
12.205119084999978,-68.25,-0.05357158131562073,0.11606990230986765,0
12.405140604000053,-68.25,-0.07812485230618992,0.11606990230986765,0
12.605118807000053,-68.5,-0.11607107265525435,0.14337208778404378,0
12.805121603999964,-68.25,-0.09821397363357712,0.13540064007726602,0
13.005123807000018,-68.5,-0.1071425326635151,0.14337208778404376,0
13.205118751999976,-68.375,-0.10937473122379747,0.14433756729740643,0
13.405121250999969,-68.5,-0.10491048609573848,0.14043582955293932,0
13.605121251000014,-68.375,-0.07589267552482612,0.11960583412006105,0
13.80451688100004,-68.5,-0.09152210283577089,0.12747548783981963,0
