time(s),mvs,
0.000,-61.87500,
0.201,-62.50000,
0.401,-63.12500,
0.602,-63.50000,
0.803,-64.12500,
1.003,35.25000,
1.204,280.25000,
1.404,291.00000,
1.605,295.87500,
1.806,305.00000,
2.006,313.12500,
2.207,316.50000,
2.408,306.12500,
2.608,299.12500,
2.809,293.37500,
3.009,296.00000,
3.210,285.37500,
3.411,271.37500,
3.611,258.12500,
3.812,246.62500,
4.013,236.87500,
4.213,228.62500,
4.414,222.37500,
4.614,216.75000,
4.815,212.75000,
5.016,209.00000,
5.216,205.50000,
5.417,202.75000,
5.618,200.00000,
5.818,197.75000,
6.019,195.25000,
6.220,193.62500,
6.420,191.62500,
6.621,189.75000,
6.821,188.12500,
7.022,186.50000,
7.223,185.00000,
7.423,183.75000,
7.624,182.37500,
7.825,181.12500,
8.025,180.00000,
8.226,178.87500,
8.427,177.75000,
8.627,176.75000,
8.828,175.62500,
9.028,174.62500,
9.229,173.62500,
9.430,172.87500,
9.630,171.87500,
9.831,170.87500,
10.032,169.75000,
10.232,169.00000,
10.433,168.00000,
10.634,167.25000,
10.834,166.37500,
11.035,165.25000,
11.236,164.37500,
11.436,163.37500,
11.637,162.37500,
11.837,161.87500,
12.038,160.75000,
12.239,159.62500,
12.439,159.00000,
12.640,158.12500,
12.841,157.25000,
13.041,156.25000,
13.242,155.50000,
13.443,154.87500,
13.643,153.87500,
13.844,152.87500,
14.044,152.37500,
14.245,151.25000,
14.446,150.50000,
14.646,149.75000,
14.847,149.12500,
15.048,148.25000,
15.248,147.25000,
15.449,146.75000,
15.650,145.87500,
15.850,145.12500,
16.051,144.25000,
16.252,143.50000,
16.452,142.62500,
16.653,142.00000,
16.853,141.00000,
17.054,140.37500,
17.255,139.75000,
17.455,139.00000,
17.656,138.25000,
17.857,137.50000,
18.057,136.62500,
18.258,136.00000,
18.459,135.00000,
18.659,134.50000,
18.860,133.87500,
19.061,133.12500,
19.261,132.12500,
19.462,131.25000,
19.662,130.75000,
19.863,129.75000,
20.064,129.00000,
20.264,128.50000,
20.465,127.62500,
20.666,126.87500,
20.866,126.12500,
21.067,125.25000,
21.268,124.62500,
21.468,123.62500,
21.669,123.12500,
21.869,122.00000,
22.070,121.50000,
22.271,120.87500,
22.471,119.87500,
22.672,118.87500,
22.873,118.50000,
23.073,117.50000,
23.274,116.87500,
23.475,116.00000,
23.675,115.00000,
23.876,114.37500,
24.077,113.50000,
24.277,112.75000,
24.478,111.87500,
24.678,111.00000,
24.879,110.25000,
25.080,109.50000,
25.280,108.62500,
25.481,107.87500,
25.682,107.00000,
25.882,106.25000,
26.083,105.37500,
26.284,104.62500,
26.484,103.62500,
26.685,102.87500,
26.886,102.12500,
27.086,101.25000,
27.287,100.25000,
27.488,99.62500,
27.688,98.87500,
27.889,98.00000,
28.089,97.12500,
28.290,96.25000,
28.491,95.37500,
28.691,94.62500,
28.892,93.62500,
29.093,92.62500,
29.293,91.87500,
29.494,91.12500,
29.695,90.00000,
29.895,89.50000,
30.096,88.37500,
30.296,87.62500,
30.497,86.75000,
30.698,85.87500,
30.898,85.00000,
31.099,84.00000,
31.300,83.00000,
31.500,82.12500,
31.701,81.37500,
31.902,80.62500,
32.102,79.75000,
32.303,78.75000,
32.504,77.87500,
32.704,77.00000,
32.905,76.25000,
33.105,75.25000,
33.306,74.50000,
33.507,73.50000,
33.707,72.62500,
33.908,71.75000,
34.109,71.12500,
34.309,69.87500,
34.510,69.12500,
34.711,68.12500,
34.911,67.37500,
35.112,66.37500,
35.312,65.62500,
35.513,64.62500,
35.714,63.87500,
35.914,62.87500,
36.115,61.87500,
36.316,61.00000,
36.516,60.25000,
36.717,59.50000,
36.917,58.37500,
37.118,57.62500,
37.319,56.75000,
37.519,55.87500,
37.720,55.00000,
37.921,54.37500,
38.121,53.37500,
38.322,52.62500,
38.523,51.87500,
38.723,50.75000,
38.924,50.00000,
39.124,49.00000,
39.325,48.37500,
39.526,47.50000,
39.726,46.62500,
39.927,45.75000,
40.128,45.00000,
40.328,44.25000,
40.529,43.37500,
40.730,42.37500,
40.930,41.62500,
41.131,40.87500,
41.331,40.12500,
41.532,39.12500,
41.733,38.50000,
41.933,37.50000,
42.134,36.87500,
42.335,35.87500,
42.536,35.37500,
42.736,34.25000,
42.937,33.87500,
43.138,33.00000,
43.338,32.37500,
43.539,31.25000,
43.740,30.62500,
43.941,29.87500,
44.141,29.12500,
44.342,28.50000,
44.543,27.75000,
44.743,27.12500,
44.944,26.37500,
45.145,25.50000,
45.346,24.75000,
45.546,23.87500,
45.747,23.37500,
45.948,22.50000,
46.149,21.75000,
46.349,20.87500,
46.550,20.37500,
46.751,19.62500,
46.952,18.75000,
47.152,18.12500,
47.353,17.50000,
47.554,16.62500,
47.754,16.12500,
47.955,15.25000,
48.156,14.25000,
48.357,13.75000,
48.557,13.37500,
48.758,12.87500,
48.959,11.62500,
49.160,11.37500,
49.360,10.50000,
49.561,9.87500,
49.762,9.25000,
49.962,8.50000,
50.163,8.00000,
50.364,7.25000,
50.565,6.50000,
50.765,5.87500,
50.966,5.25000,
51.167,4.37500,
51.367,4.12500,
51.568,3.50000,
51.769,2.75000,
51.970,2.25000,
52.170,1.50000,
52.371,1.00000,
52.572,0.37500,
52.773,-0.37500,
52.973,-0.62500,
53.174,-1.75000,
