time(s),mvs,
59.805,-109.37500,
60.006,-109.25000,
60.207,-109.25000,
60.407,-109.37500,
60.608,-109.37500,
60.809,-109.50000,
61.009,-109.50000,
61.210,-109.62500,
61.411,-109.50000,
61.611,-109.50000,
61.812,-109.50000,
62.013,-109.75000,
62.213,-109.50000,
62.414,-109.62500,
62.615,-109.75000,
62.816,-110.00000,
63.016,-110.00000,
63.217,-109.87500,
63.418,-109.87500,
63.619,-110.25000,
63.820,-110.25000,
64.020,-109.87500,
64.221,-110.00000,
64.422,-110.25000,
64.622,-110.25000,
64.823,-110.25000,
65.024,-110.25000,
65.225,-110.00000,
65.425,-110.25000,
65.626,-110.37500,
65.827,-110.37500,
66.028,-110.50000,
66.228,-110.62500,
66.429,-110.25000,
66.630,-110.50000,
66.831,-110.50000,
67.031,-110.75000,
67.232,-110.75000,
67.433,-110.62500,
67.634,-110.50000,
67.834,-110.87500,
68.035,-110.87500,
68.236,-110.87500,
68.437,-110.87500,
68.637,-110.75000,
68.838,-111.00000,
69.039,-110.75000,
69.240,-110.75000,
69.440,-110.62500,
69.641,-110.87500,
69.842,-110.87500,
70.043,-111.12500,
70.243,-110.87500,
70.444,-110.87500,
70.645,-110.87500,
70.846,-111.12500,
71.046,-111.25000,
71.247,-111.25000,
71.448,-111.25000,
71.649,-111.37500,
71.849,-111.25000,
72.050,-111.37500,
72.251,-111.37500,
72.452,-111.25000,
72.652,-111.62500,
72.853,-111.62500,
73.054,-111.37500,
73.255,-111.25000,
73.455,-111.62500,
73.656,-111.62500,
73.857,-111.50000,
74.058,-111.50000,
74.258,-111.50000,
74.459,-111.37500,
74.660,-111.62500,
74.861,-111.75000,
75.061,-111.62500,
75.262,-111.62500,
75.463,-111.87500,
75.664,-112.00000,
75.864,-111.75000,
76.065,-111.62500,
76.266,-111.62500,
76.467,-111.75000,
76.667,-111.87500,
76.868,-111.87500,
77.069,-111.75000,
77.270,-111.87500,
77.470,-111.75000,
77.671,-111.75000,
77.872,-112.00000,
78.073,-112.12500,
78.273,-111.87500,
78.474,-111.87500,
78.675,-112.00000,
78.876,-112.12500,
79.076,-112.00000,
79.277,-112.12500,
79.478,-112.25000,
79.679,-112.12500,
79.879,-112.37500,
80.080,-112.25000,
80.281,-112.12500,
80.482,-112.37500,
80.682,-112.50000,
80.883,-112.50000,
81.084,-112.37500,
81.285,-112.25000,
81.485,-112.50000,
81.686,-112.50000,
81.887,-112.50000,
82.087,-112.50000,
82.288,-112.37500,
82.489,-112.50000,
82.690,-112.50000,
82.890,-112.62500,
83.091,-112.50000,
83.292,-112.75000,
83.492,-112.62500,
83.693,-112.62500,
83.894,-112.50000,
84.094,-112.62500,
84.295,-112.62500,
84.496,-112.62500,
84.696,-112.75000,
84.897,-112.75000,
85.098,-112.75000,
85.299,-112.87500,
85.500,-112.75000,
85.700,-112.75000,
85.901,-112.62500,
86.102,-112.75000,
86.303,-112.62500,
86.503,-112.75000,
86.704,-112.87500,
86.905,-112.87500,
87.106,-113.00000,
87.306,-112.75000,
87.507,-113.00000,
87.708,-113.00000,
87.909,-113.00000,
88.109,-113.00000,
88.310,-112.87500,
88.511,-112.87500,
88.712,-113.00000,
88.912,-113.12500,
89.113,-112.87500,
89.314,-113.12500,
89.515,-113.00000,
89.715,-113.12500,
89.916,-113.12500,
90.117,-113.00000,
90.318,-113.00000,
90.518,-113.12500,
90.719,-113.12500,
90.920,-113.25000,
91.121,-113.37500,
91.321,-113.12500,
91.522,-113.12500,
91.723,-113.12500,
91.924,-113.37500,
92.124,-113.25000,
92.325,-113.12500,
92.526,-113.25000,
92.727,-113.37500,
92.927,-113.25000,
93.128,-113.37500,
93.329,-113.37500,
93.530,-113.37500,
93.730,-113.50000,
93.931,-113.37500,
94.132,-113.50000,
94.333,-113.62500,
94.534,-113.75000,
94.734,-113.62500,
94.935,-113.50000,
95.136,-113.62500,
95.337,-113.75000,
95.537,-113.50000,
95.738,-113.62500,
95.939,-113.50000,
96.140,-113.62500,
96.340,-113.62500,
96.541,-113.75000,
96.742,-113.75000,
96.943,-113.62500,
97.143,-113.75000,
97.344,-113.87500,
97.545,-113.50000,
97.746,-113.75000,
97.946,-113.75000,
98.147,-113.87500,
98.348,-113.75000,
98.549,-113.75000,
98.750,-113.87500,
98.950,-113.87500,
99.151,-114.00000,
99.352,-113.87500,
99.552,-114.12500,
99.753,-114.00000,
99.954,-113.87500,
