time(s),mvs,
0.000,-75.75000,
0.201,-76.00000,
0.401,-76.25000,
0.602,-76.12500,
0.803,-76.37500,
1.003,-76.50000,
1.204,223.50000,
1.405,284.75000,
1.605,301.00000,
1.806,308.12500,
2.007,310.62500,
2.207,313.62500,
2.408,305.62500,
2.608,297.87500,
2.809,289.12500,
3.010,282.00000,
3.210,277.12500,
3.411,273.00000,
3.612,260.25000,
3.812,247.00000,
4.013,237.62500,
4.214,229.62500,
4.414,222.37500,
4.615,216.37500,
4.815,211.50000,
5.016,207.25000,
5.217,203.37500,
5.417,200.12500,
5.618,197.25000,
5.819,194.25000,
6.019,191.87500,
6.220,190.75000,
6.421,189.25000,
6.621,187.50000,
6.822,186.00000,
7.023,184.87500,
7.223,183.62500,
7.424,182.25000,
7.625,181.37500,
7.825,180.00000,
8.026,179.00000,
8.227,178.12500,
8.427,177.12500,
8.628,176.37500,
8.829,175.37500,
9.029,174.62500,
9.230,173.87500,
9.431,173.12500,
9.631,172.25000,
9.832,171.62500,
10.033,171.00000,
10.233,170.37500,
10.434,169.37500,
10.635,168.75000,
10.835,168.12500,
11.036,167.50000,
11.237,167.00000,
11.437,166.37500,
11.638,165.75000,
11.839,165.12500,
12.039,164.37500,
12.240,163.87500,
12.441,163.37500,
12.641,163.00000,
12.842,162.12500,
13.043,161.75000,
13.243,161.25000,
13.444,160.62500,
13.645,160.12500,
13.845,159.37500,
14.046,159.00000,
14.247,158.37500,
14.447,157.87500,
14.648,157.37500,
14.849,156.87500,
15.049,156.37500,
15.250,156.00000,
15.450,155.37500,
15.651,155.00000,
15.852,154.50000,
16.052,153.87500,
16.253,153.75000,
16.454,153.12500,
16.654,152.12500,
16.855,152.12500,
17.056,151.62500,
17.256,151.00000,
17.457,150.50000,
17.658,150.00000,
17.858,149.62500,
18.059,149.00000,
18.260,148.37500,
18.460,148.12500,
18.661,147.50000,
18.862,147.12500,
19.062,146.50000,
19.263,146.00000,
19.464,145.62500,
19.664,145.37500,
19.865,144.62500,
20.066,144.00000,
20.266,143.62500,
20.467,143.12500,
20.667,142.75000,
20.868,142.37500,
21.069,141.62500,
21.269,141.25000,
21.470,140.62500,
21.671,140.12500,
21.871,139.75000,
22.072,139.25000,
22.273,138.75000,
22.473,138.00000,
22.674,137.62500,
22.875,137.12500,
23.075,136.50000,
23.276,136.00000,
23.476,135.50000,
23.677,135.12500,
23.878,134.75000,
24.078,134.50000,
24.279,133.62500,
24.480,133.12500,
24.680,132.62500,
24.881,132.12500,
25.082,131.62500,
25.282,131.00000,
25.483,130.50000,
25.684,130.00000,
25.884,129.62500,
26.085,128.87500,
26.285,128.62500,
26.486,128.00000,
26.687,127.37500,
26.887,126.62500,
27.088,126.37500,
27.289,125.75000,
27.489,125.25000,
27.690,124.75000,
27.891,124.12500,
28.091,123.87500,
28.292,123.12500,
28.492,122.75000,
28.693,122.12500,
28.894,121.50000,
29.094,121.00000,
29.295,120.50000,
29.496,119.87500,
29.696,119.37500,
29.897,118.75000,
30.098,118.25000,
30.298,117.75000,
30.499,117.12500,
30.699,116.50000,
30.900,116.25000,
31.101,115.62500,
31.301,115.00000,
31.502,114.50000,
31.703,113.87500,
31.903,113.37500,
32.104,112.37500,
32.305,112.12500,
32.505,111.50000,
32.706,111.00000,
32.907,110.50000,
33.107,109.62500,
33.308,109.37500,
33.508,108.75000,
33.709,108.12500,
33.910,107.62500,
34.110,107.00000,
34.311,106.62500,
34.512,105.75000,
34.712,105.37500,
34.913,104.37500,
35.114,104.00000,
35.314,103.62500,
35.515,103.00000,
35.716,102.37500,
35.916,101.75000,
36.117,101.00000,
36.317,100.50000,
36.518,99.87500,
36.719,99.37500,
36.919,98.62500,
37.120,98.00000,
37.321,97.50000,
37.521,96.87500,
37.722,96.25000,
37.923,95.87500,
38.123,95.00000,
38.324,94.50000,
38.524,93.75000,
38.725,93.25000,
38.926,92.50000,
39.126,92.00000,
39.327,91.37500,
39.528,90.62500,
39.728,90.12500,
39.929,89.25000,
40.130,88.62500,
40.330,88.12500,
40.531,87.62500,
40.731,86.87500,
40.932,86.12500,
41.133,85.50000,
41.333,85.12500,
41.534,84.25000,
41.735,83.62500,
41.935,83.00000,
42.136,82.25000,
42.337,81.62500,
42.537,81.12500,
42.738,80.50000,
42.939,79.87500,
43.139,79.12500,
43.340,78.62500,
43.540,77.75000,
43.741,77.12500,
43.942,76.50000,
44.142,76.00000,
44.343,75.25000,
44.544,74.62500,
44.744,74.12500,
44.945,73.25000,
45.146,72.50000,
45.346,72.00000,
45.547,71.50000,
45.748,70.62500,
45.948,69.87500,
