m_amps,volts
0.0244140625,0.0
0.0244140625,0.0
0.0244140625,0.0125
0.0244140625,0.05875
0.0244140625,0.06
0.0244140625,0.0
0.0244140625,0.0
0.0244140625,0.0
0.048828125,0.0
0.048828125,0.025
0.0244140625,0.0575
0.0244140625,0.04375
0.048828125,0.02625
0.048828125,0.005
0.0244140625,0.0
0.048828125,0.0
0.0244140625,0.0
0.0244140625,0.0475
0.0244140625,0.05625
0.0244140625,0.035
0.048828125,0.0
0.048828125,0.0
0.048828125,0.0
0.0244140625,0.025
0.0244140625,0.05
0.048828125,0.0225
0.0244140625,0.0
0.0244140625,0.0
0.0,0.0
0.0,0.00625
0.0244140625,0.03875
0.0244140625,0.04875
0.0244140625,0.02875
0.048828125,0.00125
0.0244140625,0.0
0.0244140625,0.0
0.0244140625,0.0
0.048828125,0.0425
0.0,0.05
0.0244140625,0.01
0.0244140625,0.0
0.0244140625,0.0
0.0244140625,0.0
0.0,0.0
0.0244140625,0.0475
0.0244140625,0.055
0.0244140625,0.00625
0.048828125,0.0
0.0,0.0
0.048828125,0.0
0.048828125,0.0075
0.048828125,0.035
0.0244140625,0.04375
0.0244140625,0.04625
0.0244140625,0.0325
0.0244140625,0.0375
0.048828125,0.0
0.0,0.0
0.048828125,0.0
0.0244140625,0.0175
0.0244140625,0.0525
-0.0244140625,0.02
0.0244140625,0.0
