m_amps,volts
0.048828125,8.87625
0.048828125,8.9075
0.0244140625,8.92625
0.048828125,8.9425
0.0244140625,8.95375
0.048828125,8.9625
0.0244140625,8.9725
0.0244140625,8.98
0.0244140625,8.985
0.0244140625,8.99125
0.0244140625,8.99625
0.048828125,9.0
0.048828125,9.00375
0.048828125,9.0075
0.048828125,9.01125
0.0244140625,9.015
0.048828125,9.0175
0.048828125,9.02
0.0244140625,9.02125
0.048828125,9.02375
0.048828125,9.02625
0.0244140625,9.03
0.0244140625,9.03125
0.0244140625,9.0325
0.048828125,9.0325
0.048828125,9.035
0.048828125,9.03625
0.0244140625,9.03875
0.048828125,9.03875
0.048828125,9.04
0.0244140625,9.0425
0.048828125,9.04375
0.048828125,9.04375
0.0244140625,9.045
0.0244140625,9.0475
0.0244140625,9.0475
0.0244140625,9.0475
0.0244140625,9.04875
0.0244140625,9.05
0.0244140625,9.05
0.0244140625,9.0525
0.0244140625,9.05125
0.0244140625,9.05375
0.048828125,9.05375
0.0244140625,9.05625
0.0244140625,9.05625
0.0244140625,9.05625
0.0244140625,9.0575
0.0244140625,9.0575
0.0244140625,9.05875
0.048828125,9.0575
