m_amps,volts
0.0244140625,0.00125
0.0244140625,0.00125
0.0244140625,0.00125
0.048828125,0.00125
0.048828125,0.0
0.0244140625,0.0
0.0244140625,0.0
0.0244140625,0.00125
0.0244140625,0.00125
0.0244140625,0.0
0.048828125,0.00125
0.048828125,0.0
0.048828125,0.0
0.048828125,0.0025
0.0244140625,0.00125
0.048828125,0.00125
0.0,0.0025
0.0244140625,0.0
0.0244140625,0.00125
0.0244140625,0.0
0.0244140625,0.00125
0.0244140625,0.00125
0.0244140625,0.0025
0.0244140625,0.00125
0.0244140625,0.00125
0.0,0.00125
0.0244140625,0.00125
0.0244140625,0.00125
0.048828125,0.0
0.0,0.0
0.048828125,0.00125
0.048828125,0.00125
0.048828125,0.00125
0.0244140625,0.00125
0.0,0.00125
0.0244140625,0.00125
0.048828125,0.00125
0.0244140625,0.00125
0.0244140625,0.0
0.0244140625,0.0
0.0244140625,0.0
0.048828125,0.00125
0.0244140625,0.0
0.0244140625,0.0025
0.048828125,0.0025
0.0244140625,0.0
0.0,0.0
0.048828125,0.00125
0.0244140625,0.00125
0.0244140625,0.0
0.0244140625,0.00125
0.048828125,0.00125
0.0244140625,0.0
0.048828125,0.0
0.0244140625,0.00125
0.0244140625,0.00125
0.0244140625,0.00125
0.0244140625,0.0
0.048828125,0.00125
0.0244140625,0.00125
0.0244140625,0.00125
0.048828125,0.0
