time(s),mvs,
0.000,-82.62500,
0.201,-82.75000,
0.401,-82.75000,
0.602,-82.87500,
0.803,-83.37500,
1.003,-83.37500,
1.204,133.12500,
1.404,270.87500,
1.605,278.87500,
1.806,284.75000,
2.006,285.50000,
2.207,289.25000,
2.408,293.37500,
2.608,296.00000,
2.809,294.25000,
3.010,293.50000,
3.210,291.37500,
3.411,282.12500,
3.611,274.12500,
3.812,263.12500,
4.013,252.25000,
4.213,242.87500,
4.414,233.62500,
4.615,225.50000,
4.815,218.37500,
5.016,212.50000,
5.217,207.12500,
5.417,203.12500,
5.618,199.75000,
5.819,196.37500,
6.019,193.50000,
6.220,191.12500,
6.421,188.75000,
6.621,186.62500,
6.822,184.50000,
7.022,183.00000,
7.223,181.62500,
7.424,180.12500,
7.624,178.75000,
7.825,177.50000,
8.026,176.37500,
8.226,175.37500,
8.427,174.12500,
8.628,172.75000,
8.828,172.00000,
9.029,171.25000,
9.229,170.00000,
9.430,169.00000,
9.631,168.12500,
9.831,166.87500,
10.032,166.37500,
10.233,165.62500,
10.434,165.00000,
10.634,164.00000,
10.835,163.62500,
11.036,163.00000,
11.237,162.00000,
11.437,161.25000,
11.638,160.62500,
11.839,160.00000,
12.040,159.50000,
12.240,158.87500,
12.441,158.00000,
12.642,157.37500,
12.842,157.00000,
13.043,156.37500,
13.244,155.75000,
13.445,155.25000,
13.645,154.62500,
13.846,154.00000,
14.047,153.50000,
14.248,153.00000,
14.448,152.50000,
14.649,152.00000,
14.850,151.25000,
15.050,150.75000,
15.251,150.12500,
15.452,149.75000,
15.653,149.00000,
15.853,148.62500,
16.054,148.12500,
16.255,147.75000,
16.456,147.00000,
16.656,146.37500,
16.857,146.12500,
17.058,145.37500,
17.259,144.87500,
17.459,144.62500,
17.660,144.00000,
17.861,143.25000,
18.061,142.87500,
18.262,142.37500,
18.463,141.87500,
18.664,141.37500,
18.864,140.75000,
19.065,140.25000,
19.266,139.62500,
19.467,139.25000,
19.667,138.75000,
19.868,138.37500,
20.069,137.75000,
20.270,136.87500,
20.470,136.62500,
20.671,135.87500,
20.872,135.75000,
21.073,135.00000,
21.273,134.50000,
21.474,134.00000,
21.675,133.50000,
21.875,133.12500,
22.076,132.50000,
22.277,131.87500,
22.478,131.25000,
22.678,130.75000,
22.879,130.25000,
23.080,129.87500,
23.281,129.37500,
23.481,128.75000,
23.682,128.00000,
23.883,127.87500,
24.084,127.25000,
24.284,126.75000,
24.485,126.12500,
24.686,125.62500,
24.886,125.00000,
25.087,124.50000,
25.288,123.87500,
25.489,123.37500,
25.689,122.87500,
25.890,122.50000,
26.091,121.87500,
26.292,121.25000,
26.492,120.75000,
26.693,120.25000,
26.894,119.75000,
27.095,119.25000,
27.295,118.50000,
27.496,118.12500,
27.697,117.62500,
27.897,117.00000,
28.098,116.25000,
28.299,115.75000,
