time(s),mvs,
62.198,-44.12500,
62.398,-44.75000,
62.599,-45.37500,
62.800,-45.50000,
63.000,-45.87500,
63.201,-46.37500,
63.402,-46.75000,
63.602,-47.12500,
63.803,-47.62500,
64.004,-48.00000,
64.204,-48.50000,
64.405,-48.75000,
64.605,-49.25000,
64.806,-49.50000,
65.007,-50.00000,
65.207,-50.37500,
65.408,-50.87500,
65.609,-51.12500,
65.809,-51.62500,
66.010,-52.00000,
66.211,-52.25000,
66.411,-52.50000,
66.612,-53.00000,
66.812,-53.25000,
67.013,-53.87500,
67.214,-54.12500,
67.414,-54.50000,
67.615,-55.00000,
67.816,-55.12500,
68.016,-55.37500,
68.217,-55.75000,
68.418,-56.25000,
68.618,-56.62500,
68.819,-56.62500,
69.019,-57.12500,
69.220,-57.50000,
69.421,-57.50000,
69.621,-57.87500,
69.822,-58.25000,
70.023,-58.50000,
70.223,-58.87500,
70.424,-59.12500,
70.625,-59.62500,
70.825,-60.12500,
71.026,-60.12500,
71.227,-60.25000,
71.427,-60.75000,
71.628,-61.00000,
71.829,-61.12500,
72.029,-61.50000,
72.230,-61.87500,
72.430,-61.87500,
72.631,-62.25000,
72.832,-62.50000,
73.032,-62.87500,
73.233,-63.25000,
73.434,-63.25000,
73.634,-63.50000,
73.835,-63.75000,
74.035,-64.00000,
74.236,-64.25000,
74.437,-64.75000,
74.637,-64.87500,
74.838,-65.00000,
75.039,-65.12500,
75.239,-65.50000,
75.440,-65.87500,
75.641,-66.12500,
75.841,-66.37500,
76.042,-66.50000,
76.243,-66.62500,
76.443,-67.12500,
76.644,-67.00000,
76.844,-67.25000,
77.045,-67.37500,
77.246,-67.62500,
77.446,-67.75000,
77.647,-68.00000,
77.848,-68.50000,
78.048,-68.62500,
78.249,-68.75000,
78.449,-69.12500,
78.650,-69.00000,
78.851,-69.25000,
79.051,-69.12500,
79.252,-69.50000,
79.453,-69.87500,
79.653,-70.12500,
79.854,-70.37500,
80.055,-70.75000,
80.255,-70.62500,
80.456,-70.62500,
80.656,-70.87500,
80.857,-71.25000,
81.058,-71.00000,
81.258,-71.25000,
81.459,-71.62500,
81.660,-71.87500,
81.860,-71.87500,
82.061,-72.00000,
82.262,-72.37500,
82.462,-72.37500,
82.663,-72.37500,
82.863,-72.62500,
83.064,-73.00000,
83.265,-73.12500,
83.465,-73.25000,
83.666,-73.25000,
83.867,-73.12500,
84.067,-73.37500,
84.268,-73.50000,
84.469,-73.87500,
84.669,-74.00000,
84.870,-74.25000,
85.070,-74.25000,
85.271,-74.37500,
85.472,-74.37500,
85.672,-74.62500,
85.873,-74.75000,
86.074,-74.87500,
86.274,-74.87500,
86.475,-75.00000,
86.676,-75.37500,
86.876,-75.37500,
87.077,-75.62500,
87.278,-75.50000,
87.478,-75.62500,
87.679,-75.87500,
87.880,-76.00000,
88.080,-76.12500,
88.281,-76.25000,
88.481,-76.00000,
88.682,-76.25000,
88.883,-76.37500,
89.083,-76.75000,
89.284,-76.37500,
89.485,-76.62500,
89.685,-76.87500,
89.886,-77.00000,
90.087,-76.87500,
90.287,-77.00000,
90.488,-77.37500,
90.688,-77.50000,
90.889,-77.50000,
