timestamp_ms,orp_mV
1984,-35
2224,-35
2462,-36
2695,-36
2926,-36
3178,-36
3415,-36
3654,-36
3893,-36
4132,-36
4370,-36
4599,-36
4844,-36
5082,-36
5320,-36
5552,-36
5799,-36
6036,-36
6274,-36
6511,-36
6738,-36
6978,-37
7224,-37
7457,-37
7703,-37
7941,-35
8179,-17
8416,-4
8654,8
8892,26
9127,47
9365,61
9604,73
9842,79
10067,87
10320,91
10558,95
10795,97
11030,101
11270,104
11494,106
11742,108
11971,110
12225,111
12454,112
12694,112
12934,112
13175,112
13412,111
13651,110
13878,108
14126,107
14365,105
14604,103
14838,102
15068,100
15316,99
15554,98
15792,97
16029,95
16262,93
16505,91
16743,89
16980,87
17217,84
17459,82
17688,79
17935,77
18163,74
18407,72
18646,69
18883,67
19122,64
19358,63
19596,60
19836,58
20072,55
20310,53
20552,50
20788,48
21027,45
21265,44
21493,41
21740,39
21971,37
22219,35
22453,33
22694,30
22924,29
23169,27
23398,25
23635,23
23867,21
24106,20
24359,18
24586,16
24830,15
25073,14
25311,12
25549,10
25787,10
26024,9
26262,6
26499,5
26736,5
26970,4
27216,3
27452,1
27691,1
27928,0
28165,2
28404,0
28637,-1
28881,-2
29113,-3
29357,-3
29595,-4
29833,-4
30068,-4
30309,-4
30534,-5
30783,-6
31023,-6
31257,-7
31499,-8
31736,-8
31971,-8
32213,-8
32450,-9
32686,-9
32926,-9
33166,-9
33405,-9
33640,-9
33879,-9
34117,-9
34349,-9
34590,-10
34832,-10
35069,-10
35306,-10
35545,-10
35784,-11
36022,-11
36253,-11
36492,-11
36724,-12
36972,-12
37210,-12
37451,-12
37683,-12
37925,-12
38164,-12
38401,-13
38643,-13
38880,-13
39116,-13
39348,-13
39587,-13
39832,-13
40068,-13
40300,-13
40537,-13
40771,-13
41022,-13
41261,-13
41498,-13
41736,-13
41974,-13
42202,-13
42442,-13
42687,-13
42924,-13
43165,-13
43402,-13
43638,-13
43864,-13
44102,-14
44353,-14
44595,-14
44833,-14
45066,-14
45297,-14
45544,-14
45767,-14
46018,-14
46257,-14
46493,-14
46733,-14
46973,-14
47205,-14
47449,-14
47675,-14
47925,-14
48157,-14
48397,-14
48642,-14
48869,-14
49116,-14
49354,-14
49593,-14
49829,-14
50066,-14
50305,-14
50540,-14
50780,-14
51021,-14
51259,-14
51495,-14
51734,-14
51972,-14
52195,-14
52447,-14
52686,-14
52925,-14
53164,-14
53397,-14
53631,-14
53863,-14
54114,-14
54347,-14
54588,-14
54830,-14
55067,-14
55301,-14
55530,-14
55780,-14
56017,-14
56253,-14
56493,-14
56734,-14
56972,-14
57210,-14
57447,-14
57681,-14
57922,-14
58161,-14
58397,-14
58636,-14
58877,-14
59101,-14
59352,-14
59590,-14
59825,-14
60065,-14
60296,-14
60540,-14
60776,-14
61015,-14
61258,-14
61495,-14
61731,-14
61969,-14
62193,-14
62433,-14
62677,-14
62917,-14
63161,-14
63398,-14
63636,-14
63861,-14
64111,-14
64346,-14
64587,-14
64819,-14
65065,-14
65299,-14
65541,-14
65765,-14
66015,-14
66254,-14
66491,-14
66723,-14
66955,-14
67204,-14
67445,-14
67679,-14
67918,-14
68156,-14
68396,-14
68628,-14
68870,-14
69113,-14
69348,-14
69587,-15
69824,-14
70057,-14
70300,-15
70530,-15
70769,-15
71015,-15
71254,-15
71492,-15
71730,-15
71966,-15
72193,-15
72439,-15
72680,-15
72912,-15
73158,-15
73397,-15
73635,-15
73868,-15
74108,-15
74347,-15
74582,-15
74826,-15
75062,-15
75301,-15
75539,-15
