time: 37.763, mvs: -107.12500
time: 37.966, mvs: -107.25000
time: 38.169, mvs: -107.37500
time: 38.369, mvs: -107.50000
time: 38.570, mvs: -107.62500
time: 38.771, mvs: -107.75000
time: 38.972, mvs: -108.00000
time: 39.172, mvs: -108.12500
time: 39.373, mvs: -108.25000
time: 39.576, mvs: -108.25000
time: 39.776, mvs: -108.50000
time: 39.977, mvs: -108.62500
time: 40.178, mvs: -108.87500
time: 40.379, mvs: -108.75000
time: 40.579, mvs: -109.00000
time: 40.780, mvs: -109.00000
time: 40.981, mvs: -109.25000
time: 41.182, mvs: -109.25000
time: 41.383, mvs: -109.37500
time: 41.583, mvs: -109.62500
time: 41.784, mvs: -109.62500
time: 41.985, mvs: -109.62500
time: 42.185, mvs: -109.75000
time: 42.386, mvs: -109.87500
time: 42.587, mvs: -109.87500
time: 42.788, mvs: -109.87500
time: 42.988, mvs: -110.12500
time: 43.189, mvs: -110.12500
time: 43.390, mvs: -110.25000
time: 43.590, mvs: -110.50000
time: 43.791, mvs: -110.50000
time: 43.992, mvs: -110.50000
time: 44.192, mvs: -110.62500
time: 44.393, mvs: -110.75000
time: 44.594, mvs: -110.87500
time: 44.795, mvs: -110.87500
time: 44.998, mvs: -111.00000
time: 45.199, mvs: -111.00000
time: 45.400, mvs: -111.00000
time: 45.600, mvs: -111.00000
time: 45.801, mvs: -111.12500
time: 46.002, mvs: -111.25000
time: 46.203, mvs: -111.37500
time: 46.404, mvs: -111.50000
time: 46.605, mvs: -111.50000
time: 46.805, mvs: -111.62500
time: 47.008, mvs: -111.62500
time: 47.210, mvs: -111.75000
time: 47.411, mvs: -111.50000
time: 47.611, mvs: -111.62500
time: 47.812, mvs: -111.75000
time: 48.013, mvs: -111.87500
time: 48.213, mvs: -111.87500
time: 48.414, mvs: -112.00000
time: 48.615, mvs: -112.00000
time: 48.816, mvs: -112.00000
time: 49.016, mvs: -112.12500
time: 49.217, mvs: -112.12500
time: 49.418, mvs: -112.12500
time: 49.618, mvs: -112.25000
time: 49.819, mvs: -112.12500
time: 50.020, mvs: -112.12500
time: 50.220, mvs: -112.25000
time: 50.421, mvs: -112.25000
time: 50.622, mvs: -112.37500
time: 50.823, mvs: -112.37500
time: 51.023, mvs: -112.50000
time: 51.224, mvs: -112.50000
time: 51.425, mvs: -112.62500
time: 51.628, mvs: -112.50000
time: 51.829, mvs: -112.62500
time: 52.029, mvs: -112.75000
time: 52.230, mvs: -112.75000
time: 52.431, mvs: -112.75000
time: 52.632, mvs: -112.87500
time: 52.833, mvs: -113.00000
time: 53.034, mvs: -113.00000
time: 53.238, mvs: -113.00000
time: 53.439, mvs: -113.00000
time: 53.640, mvs: -113.12500
time: 53.840, mvs: -113.00000
time: 54.041, mvs: -113.00000
time: 54.242, mvs: -113.12500
time: 54.443, mvs: -113.25000
time: 54.643, mvs: -113.25000
time: 54.844, mvs: -113.25000
time: 55.045, mvs: -113.37500
time: 55.245, mvs: -113.37500
time: 55.446, mvs: -113.50000
time: 55.647, mvs: -113.37500
time: 55.848, mvs: -113.37500
time: 56.048, mvs: -113.37500
time: 56.249, mvs: -113.50000
time: 56.450, mvs: -113.62500
time: 56.650, mvs: -113.62500
time: 56.851, mvs: -113.62500
time: 57.052, mvs: -113.62500
time: 57.253, mvs: -113.62500
time: 57.453, mvs: -113.75000
time: 57.654, mvs: -113.50000
time: 57.855, mvs: -113.50000
time: 58.056, mvs: -113.50000
time: 58.259, mvs: -113.50000
time: 58.460, mvs: -113.62500
time: 58.661, mvs: -113.75000
time: 58.861, mvs: -113.62500
time: 59.062, mvs: -113.62500
time: 59.263, mvs: -113.75000
time: 59.464, mvs: -114.00000
time: 59.666, mvs: -114.00000
time: 59.867, mvs: -114.00000
time: 60.068, mvs: -114.12500
time: 60.268, mvs: -114.12500
time: 60.469, mvs: -114.12500
time: 60.670, mvs: -114.12500
time: 60.871, mvs: -114.12500
time: 61.071, mvs: -114.25000
time: 61.272, mvs: -114.37500
time: 61.473, mvs: -114.37500
time: 61.673, mvs: -114.37500
time: 61.874, mvs: -114.37500
time: 62.075, mvs: -114.37500
time: 62.276, mvs: -114.50000
time: 62.476, mvs: -114.50000
time: 62.677, mvs: -114.37500
time: 62.878, mvs: -114.37500
time: 63.078, mvs: -114.50000
time: 63.279, mvs: -114.62500
time: 63.480, mvs: -114.62500
time: 63.681, mvs: -114.87500
time: 63.881, mvs: -114.87500
time: 64.082, mvs: -114.87500
time: 64.283, mvs: -114.75000
time: 64.484, mvs: -114.62500
time: 64.686, mvs: -114.75000
time: 64.887, mvs: -114.87500
time: 65.090, mvs: -114.75000
time: 65.291, mvs: -114.87500
time: 65.491, mvs: -115.00000
time: 65.692, mvs: -114.75000
time: 65.893, mvs: -114.75000
time: 66.094, mvs: -114.87500
time: 66.295, mvs: -114.75000
time: 66.498, mvs: -115.00000
time: 66.702, mvs: -115.12500
time: 66.903, mvs: -115.12500
time: 67.106, mvs: -114.87500
time: 67.307, mvs: -115.00000
time: 67.507, mvs: -115.00000
time: 67.708, mvs: -115.00000
time: 67.909, mvs: -115.00000
time: 68.109, mvs: -115.12500
time: 68.310, mvs: -115.00000
time: 68.511, mvs: -115.12500
time: 68.712, mvs: -115.12500
time: 68.912, mvs: -115.25000
time: 69.113, mvs: -115.37500
time: 69.314, mvs: -115.37500
time: 69.515, mvs: -115.37500
time: 69.716, mvs: -115.37500
time: 69.918, mvs: -115.37500
time: 70.120, mvs: -115.37500
time: 70.321, mvs: -115.37500
time: 70.522, mvs: -115.37500
time: 70.722, mvs: -115.50000
time: 70.923, mvs: -115.37500
time: 71.124, mvs: -115.50000
time: 71.325, mvs: -115.50000
time: 71.526, mvs: -115.37500
time: 71.727, mvs: -115.50000
time: 71.927, mvs: -115.50000
time: 72.128, mvs: -115.62500
time: 72.329, mvs: -115.62500
time: 72.530, mvs: -115.75000
time: 72.730, mvs: -115.62500
time: 72.931, mvs: -115.62500
time: 73.132, mvs: -115.62500
time: 73.333, mvs: -115.75000
time: 73.533, mvs: -115.87500
time: 73.734, mvs: -115.75000
time: 73.935, mvs: -115.75000
time: 74.135, mvs: -115.75000
time: 74.336, mvs: -115.87500
time: 74.537, mvs: -115.87500
time: 74.738, mvs: -115.87500
time: 74.938, mvs: -116.00000
time: 75.139, mvs: -115.87500
time: 75.340, mvs: -115.87500
time: 75.540, mvs: -115.87500
time: 75.741, mvs: -115.87500
time: 75.942, mvs: -115.87500
time: 76.142, mvs: -116.00000
time: 76.343, mvs: -116.00000
time: 76.544, mvs: -116.00000
time: 76.745, mvs: -116.00000
time: 76.946, mvs: -116.00000
time: 77.147, mvs: -116.12500
time: 77.348, mvs: -116.00000
time: 77.550, mvs: -116.12500
time: 77.751, mvs: -116.12500
time: 77.952, mvs: -116.12500
time: 78.153, mvs: -116.12500
time: 78.353, mvs: -116.12500
time: 78.554, mvs: -116.25000
time: 78.755, mvs: -116.25000
time: 78.956, mvs: -116.25000
time: 79.157, mvs: -116.25000
time: 79.358, mvs: -116.37500
time: 79.559, mvs: -116.37500
time: 79.759, mvs: -116.37500
time: 79.960, mvs: -116.37500
time: 80.162, mvs: -116.37500
time: 80.363, mvs: -116.37500
time: 80.563, mvs: -116.37500
time: 80.764, mvs: -116.37500
time: 80.965, mvs: -116.50000
time: 81.166, mvs: -116.37500
time: 81.366, mvs: -116.50000
time: 81.567, mvs: -116.50000
time: 81.768, mvs: -116.50000
time: 81.968, mvs: -116.50000
time: 82.169, mvs: -116.50000
time: 82.370, mvs: -116.62500
time: 82.571, mvs: -116.50000
time: 82.771, mvs: -116.62500
time: 82.972, mvs: -116.62500
time: 83.173, mvs: -116.62500
time: 83.373, mvs: -116.62500
time: 83.574, mvs: -116.75000
time: 83.775, mvs: -116.62500
time: 83.976, mvs: -116.75000
time: 84.177, mvs: -116.75000
time: 84.378, mvs: -116.62500
time: 84.579, mvs: -116.87500
time: 84.781, mvs: -116.87500
time: 84.982, mvs: -116.75000
time: 85.183, mvs: -116.75000
time: 85.384, mvs: -116.75000
time: 85.585, mvs: -116.75000
time: 85.786, mvs: -116.75000
time: 85.987, mvs: -116.87500
time: 86.188, mvs: -116.87500
time: 86.388, mvs: -116.87500
time: 86.590, mvs: -116.75000
time: 86.791, mvs: -116.87500
time: 86.991, mvs: -117.00000
time: 87.192, mvs: -117.00000
time: 87.393, mvs: -117.12500
time: 87.593, mvs: -117.12500
time: 87.794, mvs: -117.00000
time: 87.995, mvs: -117.00000
