time(s),mvs,
0.000,-111.62500,
0.201,-111.75000,
0.401,-111.62500,
0.602,-111.75000,
0.803,-111.87500,
1.003,-111.75000,
1.204,-111.87500,
1.405,-112.00000,
1.605,-112.25000,
1.806,-112.00000,
2.007,27.00000,
2.207,140.37500,
2.408,153.62500,
2.609,142.87500,
2.809,135.50000,
3.010,127.00000,
3.211,119.62500,
3.411,113.25000,
3.612,108.25000,
3.812,103.00000,
4.013,98.62500,
4.214,95.12500,
4.414,92.25000,
4.615,89.25000,
4.816,87.00000,
5.016,84.87500,
5.217,83.62500,
5.418,82.62500,
5.618,82.50000,
5.819,82.50000,
6.020,82.25000,
6.220,81.75000,
6.421,82.00000,
6.622,81.75000,
6.822,81.25000,
7.023,81.00000,
7.224,80.62500,
7.424,80.00000,
7.625,79.25000,
7.826,78.50000,
8.026,78.00000,
8.227,76.87500,
8.428,75.87500,
8.628,74.37500,
8.829,73.37500,
9.030,72.25000,
9.230,70.75000,
9.431,69.25000,
9.632,68.00000,
9.832,66.50000,
10.033,65.00000,
10.234,63.50000,
10.434,61.87500,
10.635,60.37500,
10.836,58.75000,
11.036,57.25000,
11.237,55.62500,
11.438,54.25000,
11.638,52.50000,
11.839,51.12500,
12.040,49.37500,
12.240,47.87500,
12.441,46.25000,
12.642,44.62500,
12.842,42.75000,
13.043,41.50000,
13.244,39.87500,
13.444,38.62500,
13.645,36.87500,
13.846,35.00000,
14.046,33.50000,
14.247,32.00000,
14.448,30.50000,
14.648,28.75000,
14.849,27.00000,
15.050,25.50000,
15.250,23.87500,
15.451,22.12500,
15.652,20.37500,
15.852,18.75000,
16.053,17.00000,
16.254,15.12500,
16.454,13.87500,
16.655,11.87500,
16.856,10.12500,
17.056,8.37500,
17.257,6.62500,
17.458,5.12500,
17.658,3.00000,
17.859,1.50000,
18.060,-0.12500,
18.260,-1.75000,
18.461,-3.62500,
18.662,-5.37500,
18.862,-7.12500,
19.063,-8.62500,
19.264,-10.62500,
19.465,-12.50000,
19.665,-14.12500,
19.866,-15.75000,
20.067,-17.25000,
20.267,-19.25000,
20.468,-20.87500,
20.669,-22.50000,
20.869,-24.00000,
21.070,-25.75000,
21.271,-27.25000,
21.471,-29.00000,
21.672,-30.75000,
21.873,-32.12500,
22.074,-33.75000,
22.274,-35.37500,
22.475,-36.75000,
22.676,-38.25000,
22.876,-40.00000,
23.077,-41.25000,
23.278,-42.75000,
23.479,-44.50000,
23.679,-45.37500,
23.880,-47.00000,
24.081,-48.25000,
24.282,-49.62500,
24.482,-51.12500,
24.683,-52.25000,
24.884,-53.75000,
25.085,-55.12500,
25.286,-56.25000,
25.486,-57.50000,
25.687,-58.87500,
25.888,-60.12500,
26.089,-61.37500,
26.289,-62.62500,
26.490,-63.50000,
26.691,-64.62500,
26.892,-65.87500,
27.092,-66.87500,
27.293,-68.50000,
27.494,-69.12500,
27.695,-70.12500,
27.895,-71.25000,
28.096,-72.37500,
28.297,-73.25000,
28.498,-74.25000,
28.698,-75.37500,
28.899,-76.25000,
29.100,-77.12500,
29.301,-78.00000,
29.501,-79.00000,
29.702,-80.12500,
29.903,-80.75000,
30.104,-81.62500,
30.304,-82.37500,
30.505,-83.37500,
30.706,-84.00000,
30.907,-84.87500,
31.107,-85.50000,
31.308,-86.12500,
31.509,-86.87500,
31.710,-87.75000,
31.910,-88.37500,
32.111,-89.00000,
32.312,-89.62500,
32.513,-90.25000,
32.713,-91.00000,
32.914,-91.50000,
33.115,-92.12500,
33.316,-92.75000,
33.516,-93.37500,
33.717,-94.00000,
33.918,-94.37500,
34.119,-95.00000,
34.319,-95.37500,
34.520,-95.75000,
34.721,-96.25000,
34.922,-96.75000,
35.122,-97.50000,
35.323,-97.50000,
35.524,-98.12500,
35.725,-98.62500,
35.925,-98.75000,
36.126,-99.25000,
36.327,-99.62500,
36.528,-100.00000,
36.728,-100.25000,
36.929,-100.50000,
37.130,-101.00000,
37.331,-101.25000,
37.531,-101.62500,
37.732,-101.87500,
37.933,-102.37500,
38.134,-102.37500,
38.334,-102.75000,
38.535,-102.87500,
38.736,-103.37500,
38.937,-103.50000,
39.138,-103.62500,
39.338,-103.87500,
39.539,-104.12500,
39.740,-104.50000,
39.941,-104.62500,
40.141,-104.75000,
40.342,-104.87500,
40.543,-105.12500,
40.744,-105.25000,
40.944,-105.50000,
41.145,-105.75000,
41.346,-106.00000,
41.547,-106.00000,
41.747,-106.00000,
41.948,-106.37500,
42.149,-106.50000,
42.350,-106.50000,
42.550,-106.62500,
42.751,-106.87500,
42.952,-107.12500,
43.153,-107.12500,
43.353,-107.37500,
43.554,-107.25000,
43.755,-107.62500,
43.956,-107.75000,
44.156,-107.87500,
44.357,-107.87500,
44.558,-108.12500,
44.759,-108.00000,
44.959,-108.25000,
45.160,-108.12500,
