time: 0.000, mvs: -122.12500
time: 0.202, mvs: -122.12500
time: 0.404, mvs: -122.12500
time: 0.605, mvs: -122.12500
time: 0.806, mvs: -121.87500
time: 1.007, mvs: -122.00000
time: 1.207, mvs: -122.00000
time: 1.408, mvs: -122.00000
time: 1.609, mvs: -122.25000
time: 1.809, mvs: -116.37500
time: 2.010, mvs: 207.12500
time: 2.211, mvs: 249.62500
time: 2.411, mvs: 251.50000
time: 2.612, mvs: 262.12500
time: 2.813, mvs: 263.25000
time: 3.014, mvs: 260.37500
time: 3.214, mvs: 245.37500
time: 3.415, mvs: 248.87500
time: 3.619, mvs: 242.75000
time: 3.820, mvs: 237.62500
time: 4.021, mvs: 225.37500
time: 4.221, mvs: 213.00000
time: 4.422, mvs: 202.75000
time: 4.623, mvs: 195.00000
time: 4.824, mvs: 188.75000
time: 5.024, mvs: 183.62500
time: 5.225, mvs: 179.75000
time: 5.426, mvs: 176.25000
time: 5.627, mvs: 173.50000
time: 5.827, mvs: 171.00000
time: 6.028, mvs: 168.87500
time: 6.229, mvs: 166.50000
time: 6.429, mvs: 164.37500
time: 6.630, mvs: 162.37500
time: 6.831, mvs: 160.37500
time: 7.032, mvs: 158.12500
time: 7.232, mvs: 156.25000
time: 7.433, mvs: 154.25000
time: 7.634, mvs: 152.25000
time: 7.835, mvs: 150.12500
time: 8.035, mvs: 147.75000
time: 8.236, mvs: 145.37500
time: 8.437, mvs: 142.87500
time: 8.637, mvs: 140.50000
time: 8.838, mvs: 138.12500
time: 9.039, mvs: 136.00000
time: 9.239, mvs: 133.87500
time: 9.440, mvs: 132.00000
time: 9.641, mvs: 130.12500
time: 9.842, mvs: 128.12500
time: 10.042, mvs: 126.25000
time: 10.243, mvs: 124.25000
time: 10.444, mvs: 122.50000
time: 10.645, mvs: 120.62500
time: 10.846, mvs: 118.87500
time: 11.047, mvs: 117.00000
time: 11.250, mvs: 115.37500
time: 11.450, mvs: 113.62500
time: 11.651, mvs: 112.00000
time: 11.852, mvs: 110.25000
time: 12.053, mvs: 108.50000
time: 12.254, mvs: 106.87500
time: 12.455, mvs: 105.37500
time: 12.658, mvs: 103.87500
time: 12.859, mvs: 102.25000
time: 13.060, mvs: 100.62500
time: 13.261, mvs: 99.12500
time: 13.461, mvs: 97.62500
time: 13.662, mvs: 96.00000
time: 13.863, mvs: 94.62500
time: 14.063, mvs: 93.12500
time: 14.264, mvs: 91.62500
time: 14.465, mvs: 90.25000
time: 14.666, mvs: 88.62500
time: 14.866, mvs: 87.25000
time: 15.067, mvs: 85.75000
