timestamp_ms,orp_mV
1989,174
2224,185
2462,209
2701,276
2926,309
3164,334
3414,337
3639,346
3894,339
4127,328
4369,311
4604,302
4843,295
5080,290
5319,287
5556,284
5794,283
6030,281
6265,279
6495,279
6731,278
6984,278
7223,278
7460,278
7698,278
7936,277
8159,277
8396,277
8635,277
8871,276
9109,276
9347,275
9585,275
9824,275
10079,274
10301,274
10540,274
10779,274
11018,274
11256,273
11500,273
11741,273
11971,273
12210,273
12448,273
12688,272
12926,271
13166,271
13407,271
13646,270
13877,270
14116,270
14355,269
14594,269
14833,269
15071,269
15308,268
15545,268
15782,268
16021,267
16259,266
16496,266
16734,265
16974,265
17211,264
17449,264
17686,264
17926,263
18161,263
18399,263
18636,262
18875,262
19113,261
19352,260
19590,259
19829,259
20067,259
20305,258
20544,258
20767,257
21005,256
21245,255
21481,254
21719,254
21965,254
22199,253
22446,253
22675,252
22923,251
23151,250
23390,249
23628,249
23868,249
24105,248
24346,247
24584,246
24823,245
25061,245
25298,244
25537,244
25775,243
26014,242
26252,241
26491,240
26714,239
26953,239
27203,239
27429,238
27674,237
27907,236
28145,235
28384,234
28621,234
28859,233
29098,232
29337,231
29579,230
29813,230
30052,229
30290,228
30528,227
30767,226
31006,225
31245,225
31484,224
31721,223
31958,222
32197,221
32435,220
32673,220
32912,219
33151,218
33374,216
33613,215
33851,215
34104,214
34327,213
34565,211
34803,210
35040,210
35278,209
35517,207
35756,206
35996,205
36234,205
36474,204
36710,202
36950,201
37188,200
37427,200
37665,198
37902,196
38141,196
38380,195
38619,194
38856,192
39094,191
39331,190
39570,189
39808,187
40047,186
40286,185
40525,184
40763,182
41002,181
41238,180
41476,179
41715,177
41954,176
42193,175
42431,173
42654,171
42892,171
43131,170
43379,167
43615,166
43846,165
44086,164
44324,162
44562,161
44801,160
45039,158
45277,157
45520,156
45754,155
45990,153
46230,151
46469,151
46708,149
46946,147
47185,147
47425,146
47663,144
47903,142
48137,141
48376,141
48614,139
48852,137
49090,136
49330,135
49567,133
49806,132
50044,131
50283,130
50521,128
50759,127
50982,127
51221,125
51460,123
51698,122
51937,122
52174,121
52412,119
52650,118
52888,117
53127,116
53366,114
53604,113
53841,112
54079,111
54316,110
54553,109
54790,108
55029,107
55267,106
55505,104
55746,103
55980,102
56234,102
56472,100
56695,99
56933,98
57170,97
57408,97
57651,95
57885,94
58123,93
58361,92
58599,92
58838,90
59076,89
59325,88
59556,88
59796,87
60027,86
60265,84
60503,83
60742,83
60981,82
61219,81
61462,80
61696,79
61935,78
62174,78
62412,77
62651,76
62889,75
63129,74
63366,73
63605,73
63843,72
64081,71
64319,70
64558,69
64795,69
65033,68
65272,68
65509,67
65747,66
65986,65
66224,64
66462,64
66701,63
66939,62
67177,62
67416,60
67654,60
67879,59
68115,59
68354,58
68596,58
68829,57
69068,56
69307,55
69545,54
69784,54
70023,54
70262,53
70500,52
70739,52
70975,51
71214,50
71452,49
71690,49
71929,49
72167,48
72407,48
72645,47
72884,46
73126,46
73361,45
73600,44
73838,44
74077,44
74316,44
74553,43
74791,43
75030,42
75268,42
75504,41
75743,40
75981,40
76219,39
76458,39
76697,39
76935,39
77172,39
77411,38
77633,38
77871,37
78110,36
78349,36
78587,35
78826,35
79064,34
79311,34
79542,34
79780,34
80027,34
80257,33
80504,33
80735,33
80974,32
81216,31
81452,31
81690,31
81929,30
82168,30
82407,30
82646,29
82885,29
83123,29
83346,29
83585,29
83824,29
84063,28
84303,28
84549,28
84779,27
85026,27
85255,26
85493,26
85731,26
85971,25
86209,25
86447,25
86685,25
86930,25
87160,24
87399,24
87638,24
87876,24
88115,24
88354,24
88592,24
88834,24
89075,24
89308,23
89544,23
89781,23
90021,23
90259,22
90497,22
90736,22
90975,21
91215,21
91452,21
91691,21
91930,21
92153,20
92402,20
92640,20
92870,20
93109,20
93348,20
93588,20
93823,20
94061,20
94300,19
94543,19
94778,19
95017,19
95256,19
95494,19
95733,19
95971,19
96209,19
96448,19
96687,19
96925,18
97164,18
97388,18
97643,18
97866,18
98104,18
98356,18
98579,17
98817,17
99057,17
99295,17
99536,17
99773,17
100013,17
100257,16
100490,16
100727,16
100972,16
101204,16
101443,16
101681,16
101919,16
102163,16
102397,16
102633,15
102870,15
103108,15
103346,15
103585,15
103824,15
104070,15
104301,15
104541,15
104780,15
105018,15
