time,mvs,rot,std,stop
1.6480000795127125e-06,-257.5,,,0
0.10005979600009596,-257.75,,,0
0.2000553329999093,-258.125,,,0
0.30005518500001926,-258.625,,,0
0.4000602399999025,-258.625,,,0
0.5000604439999279,-259.0,,,0
0.6000561660000585,-259.375,,,0
0.7000556660000257,-259.75,,,0
0.8000565730001199,-260.0,,,0
0.9000634060000721,-260.5,,,0
1.0000616289999016,-260.8749999999998,,,0
1.1000561660000585,-261.375,,,0
1.2000551470000573,-261.75,,,0
1.3000553879999188,-262.0,,,0
1.400058016999992,-262.5,-3.571376293351473,1.5479825580412618,0
1.5000624619999599,-263.125,-3.7187471427303906,1.6132265804901618,0
1.6000647390001177,-263.125,-3.7365959925842747,1.6206137383376955,0
1.7198033320000832,-260.25,-2.918348679647939,1.4868871286460612,0
1.803735405999987,-251.5,-0.03281621065349333,2.7137765813222936,0
1.9077661470000749,-238.75,5.777627851059195,6.020762687013438,0
2.0049839979999433,-226.625,13.756173117555374,10.057011097847218,0
2.1065598319999026,-215.25,23.303171148619015,14.385597542913066,0
2.2138309980000486,-206.625,33.30650574942966,18.45492632213836,0
2.3051112200000716,-201.125,42.7227240115655,21.908610686719086,0
2.408890256999939,-196.125,51.15544717878696,24.828657277875934,0
2.5020545540000967,-192.125,58.304862274271564,27.168910950242783,0
2.6051168500000585,-188.5,63.78186051552634,28.921445330411828,0
2.7039595159999408,-185.125,67.46080003751752,30.070260317389266,0
2.805117479000046,-182.25,69.06057138126491,30.549713582945422,0
2.903876312999955,-177.75,68.83158422393709,30.410688910315727,0
3.0045929049999813,-171.75,66.86689464847602,29.61230975268375,0
3.1051189790000535,-165.0,63.27989137897267,28.05246820196437,0
3.2120924979999472,-156.875,58.676673051872314,25.988667402029936,0
3.3051196270000673,-149.25,55.093142680968725,24.151029423654435,0
3.405113942000071,-142.75,53.08250389942684,23.138255960397895,0
3.505116163999901,-138.0,52.32564259403329,22.76282605477624,0
3.610190811999928,-134.625,52.41465114981309,22.82766961386992,0
3.7051147380000202,-132.0,52.700420848887475,22.98513106336355,0
3.8019051270000546,-129.25,52.748742765549125,22.97818107587186,0
3.900211053000021,-125.375,52.584542051975994,22.906224893877404,0
4.005115349000107,-122.75,51.71347669018458,22.55865810626943,0
4.101284867000004,-121.875,49.63135615318814,21.75853280899243,0
4.205120589999979,-122.0,46.042145821660206,20.42332544475121,0
4.305118275000041,-121.875,41.032485846281574,18.4981117654989,0
4.403590645000122,-122.24999999999977,35.08146401798911,16.1238479347277,0
4.505116404000091,-123.25,28.577757268058367,13.486788803203769,0
4.614243441000099,-124.0,22.00298928057371,10.76914961050006,0
4.700166386000092,-124.625,16.280079065914208,8.351621599026954,0
4.822116886000003,-126.0,11.116710068209606,6.354296446762103,0
4.918780792999996,-127.0,6.807866847322326,4.850214771876958,0
5.005121219000102,-128.24999999999977,3.0470243377423794,3.7765173550949505,0
5.108662810999931,-128.875,-0.25722648072724147,3.0753274441738543,0
5.205122367000058,-129.5,-3.1864998503280586,2.758698364567366,0
5.30511897800011,-129.5,-5.451103660876097,2.784206449880387,0
5.40313857000001,-128.875,-6.473164658201419,2.9364803194754554,0
5.505115996000086,-128.0,-6.390107626297206,2.9155474042907783,0
5.610608088999925,-127.5,-5.737884766673872,2.7534826432477684,0
5.705115736999915,-127.625,-4.957231534633726,2.5446840013382293,0
5.805069552000077,-128.0,-4.028078673750855,2.2479002548057276,0
